User Language,participant,Age,Gender - Selected Choice,Education - Selected Choice,Education - Other - Text,Handedness,List of Countries,Country of residence,"Please check all the language(s) you know. If there are other languages you know that aren't listed, please indicate in ""other"". - Selected Choice - English","Please check all the language(s) you know. If there are other languages you know that aren't listed, please indicate in ""other"". - Selected Choice - Spanish","Please check all the language(s) you know. If there are other languages you know that aren't listed, please indicate in ""other"". - Selected Choice - Chinese mandarin","Please check all the language(s) you know. If there are other languages you know that aren't listed, please indicate in ""other"". - Selected Choice - Other","Please check all the language(s) you know. If there are other languages you know that aren't listed, please indicate in ""other"". - Other - Text",Is English your native language?,"How many years of classes (grammar, history, math, etc.) have you had in English (primary school through university)? - Years","Rate your current ability of English in terms of listening, speaking, reading and writing. - Listening - Very good","Rate your current ability of English in terms of listening, speaking, reading and writing. - Speaking","Rate your current ability of English in terms of listening, speaking, reading and writing. - Reading ","Rate your current ability of English in terms of listening, speaking, reading and writing. - Writing",percentage_en,Do you feel comfortable when you speak English?,Is Spanish your native language?,At what age did you start learning Spanish? - Age,"How many years of classes (grammar, history, math, etc.) have you had in Spanish (primary school through university)? - Years",At what age did you start to feel comfortable using Spanish? - Age,"Rate your current ability of Spanish in terms of listening, speaking, reading and writing. - Listening","Rate your current ability of Spanish in terms of listening, speaking, reading and writing. - Speaking","Rate your current ability of Spanish in terms of listening, speaking, reading and writing. - Reading","Rate your current ability of Spanish in terms of listening, speaking, reading and writing. - Writing","In an average week,  in all kinds of activities, what percentage of the time do you use in Spanish? - Percentage",Do you feel comfortable when you speak Spanish?,Sometimes I do not remember or I cannot recall some English words when I am speaking in English.,Sometimes I do not remember or I cannot recall some Spanish words when I am speaking in Spanish.,"I tend to switch languages during a conversation (for example, I switch from English to Spanish or vice versa).","When I cannot recall a word in Spanish, I tend to immediately produce it in English.","When I cannot recall a word in English, I tend to immediately produce it in Spanish.","I do not realize when I switch the language during a conversation (e.g., from English to Spanish) or when I mix the two languages; I often realize it only if I am informed of the switch by another person.","When I switch languages, I do it consciously.",It is difficult for me to control the language switches I introduce during a conversation.,"Without intending to, I sometimes produce the Spanish word faster when I am speaking in English.","Without intending to, I sometimes produce the English word faster when I am speaking in Spanish.",There are situations in which I always switch between the two languages.,There are certain topics or issues for which I normally switch between the two languages.,Use the comment box below to indicate any additional answers to any of the questions above that you feel better describe your language background or usage.,lextale
EN,52,19,2,1,,1,1,1,1,,,,,1,14,5,5,5,5,100,5,2,14,5,18,3,4,3,3,15,4,1,4,3,5,1,1,5,1,1,5,2,2,,11
EN,12,20,2,1,,1,136,1,1,1,,,,1,14,5,5,5,5,100,5,2,5,0,20,2,3,3,3,5,2,2,5,2,5,1,1,5,1,1,5,3,4,,8
EN,65,19,1,1,,2,1,1,1,,,,,1,13,5,5,5,5,100,5,2,10,6,15,2,2,3,3,5,2,1,4,2,4,1,1,4,1,2,4,1,2,,2
EN,68,19,2,1,,1,72,1,1,1,,,,1,16,5,5,5,5,95,5,2,13,3,19,1,2,2,2,5,2,2,4,2,5,1,1,1,1,1,5,1,1,,1
EN,28,18,2,3,pursuing undergrad,1,1,1,1,1,,,,1,15,5,5,5,5,100,5,2,0,8,15,1,2,2,3,5,2,2,4,1,4,2,1,5,1,2,4,1,1,"My mother spoke Spanish to me when I was young, that is why I put 0 as the age I started learning Spanish, but I did not start studying Spanish until I was in middle school at 11. Because my mother spoke to me in Spanish when I was young there are some phrases and words in Spanish that I know instinctively without having to translate in my head, there are even some words that I learned in Spanish first and did not learn the English counterpart for until much later in life, which is why I sometimes would forget the English word for something even though I could not hold a conversation in Spanish. It has been really interesting to learn Spanish with this background, because there are a few grammar rules in Spanish that I know because they just ""sound right"" to me from listening to my family speak and then in class I get to learn why those specific grammar rules exist and how they work.",3
EN,21,26,2,2,,1,1,1,1,1,,,,1,18,5,5,5,5,85,5,2,13,11,20,5,4,5,5,70,4,3,4,3,3,3,1,5,2,3,3,4,3,,50
EN,73,18,1,1,,1,78,1,1,,,,,1,12,5,5,5,5,99,5,2,10,9,17,3,2,4,2,2,2,1,3,1,1,1,1,5,1,2,4,2,1,,7
EN,91,20,2,1,,1,1,1,1,1,,,,1,15,5,5,5,5,95,5,2,11,9,16,4,4,4,4,5,4,3,3,2,3,3,1,2,3,3,3,1,4,,9
EN,70,20,2,1,,1,1,1,1,1,,,,1,14,5,5,5,5,90,5,1,0,3,3,5,5,4,3,10,5,2,3,3,4,3,1,4,2,2,3,4,4,I work as a bilingual nutrition educator and regularly use Spanish in my professional and personal interactions ,31
EN,86,20,2,1,,1,1,1,1,1,,,,1,16,5,5,5,5,100,5,2,13,6,19,3,3,2,4,8,3,1,4,1,5,1,1,5,1,1,5,1,1,,-2
EN,42,18,2,1,,1,52,1,1,1,,,,1,18,5,5,5,5,100,5,2,2,0,4,5,5,5,4,100,5,1,3,5,3,3,2,5,2,4,5,5,5,I use Spanish everyday and as a little kid my mom always told me I didn’t like it but I never understood why and I’ve always loved learning Spanish because both of my parents are from Ecuador. ,22
EN,74,21,1,1,,1,1,1,1,1,,,,1,16,5,5,5,5,95,5,2,14,7,20,4,2,4,3,10,2,2,3,1,4,2,1,5,1,2,3,1,1,,19
EN,33,20,2,1,,1,1,1,1,1,,,,1,16,5,5,5,5,100,5,1,0,8,17,4,3,3,2,10,4,1,4,2,5,1,1,3,2,2,4,2,1,,12
EN,54,19,1,1,,1,66,1,1,1,,,,1,11,5,5,5,5,100,5,2,7,9,15,2,2,2,2,10,2,1,4,1,5,1,1,5,1,1,5,2,1,,8
EN,75,18,2,1,,1,1,1,1,1,,,,1,14,5,5,5,5,100,5,2,10,10,14,3,3,3,3,0,2,2,3,1,5,1,1,1,1,1,1,1,1,,-2
EN,6,18,1,3,High School,1,1,1,1,1,,,,1,13,5,5,5,5,98,5,2,11,6,18,2,2,3,3,2,2,1,4,2,3,1,1,5,1,1,3,1,1,,-16
EN,27,20,2,1,,1,1,1,1,1,,,,1,20,5,5,5,5,100,5,2,19,2,20,3,3,3,3,10,3,1,4,1,5,2,1,5,1,1,5,1,1,,14
EN,67,19,1,1,,1,1,1,1,,,,,1,12,5,5,5,5,100,5,2,15,4,19,2,1,2,2,0,2,1,4,1,4,1,2,5,1,1,3,1,1,,-1
EN,29,18,2,1,,1,1,1,1,1,,,,1,12,5,5,5,5,100,5,2,12,3,18,3,3,3,3,10,3,2,4,2,4,1,1,3,1,2,2,1,1,,0
EN,64,20,1,1,,1,1,1,1,1,,,,1,12,5,5,5,5,99,5,2,11,6,17,3,3,4,4,1,4,2,4,3,2,1,1,5,1,1,5,2,4,,6
EN,62,19,2,1,,1,1,1,1,1,,,,1,14,5,5,5,5,100,5,2,10,0,15,3,3,3,3,10,3,1,4,1,5,1,1,1,1,1,3,1,1,,5
EN,58,19,2,1,,1,1,1,1,1,,,,1,13,5,5,5,5,99,5,2,8,8,16,2,3,3,3,31,3,1,4,1,4,1,1,4,1,1,5,3,2,,3