participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_trial_key.rt,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,0,0,0,0,1,tr1,lt,tr,en,na,practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,image/kids.png,image/plates.png,kids,lshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,"[""rshift""]",0,1,1,1,1,tr2,lt,tr,en,na,practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,image/bag.png,image/car.png,car,rshift,[2.681199999928481],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,"[""lshift""]",0,2,2,2,1,tr3,lt,tr,sp,na,practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,image/dog.png,image/grandma.png,dog,lshift,[2.4046000000238337],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,"[""lshift""]",0,3,3,3,1,tr4,lt,tr,sp,na,practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,image/shirt.png,image/bag.png,bag,rshift,[3.5643999999761036],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,"[""lshift""]",0,4,4,4,1,tr5,lt,tr,se,na,practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,image/donut.png,image/cups.png,donut,lshift,[3.3166000000238682],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,"[""rshift""]",0,5,5,5,1,tr6,lt,tr,se,na,practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,image/chair.png,image/sweater.png,sweater,rshift,[2.638499999999908],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,"[""lshift""]",0,6,6,6,1,tr7,lt,tr,es,na,practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,image/shirt.png,image/wallet.png,shirt,lshift,[3.8107000000477456],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,"[""rshift""]",0,7,7,7,1,tr8,lt,tr,es,na,practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,image/key.png,image/flipflops.png,flipflops,rshift,[2.343899999976202],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,027,l2,t,es,na,audio/027.wav,,l2_t_es_na_027,,,,,,,image/shirt.png,image/book.png,shirt,lshift,,lshift,1,2.1859,0,0,0,41,1,1,shirt,book,shirt,book,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,022,l2,t,es,na,audio/022.wav,,l2_t_es_na_022,,,,,,,image/dog.png,image/cat.png,cat,rshift,,rshift,1,2.569,0,1,1,36,1,1,cat,dog,dog,cat,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,099,l2,f,en,na,audio/099.wav,,l2_f_en_na_099,,,,,,,image/dog.png,image/cat.png,dog,lshift,,lshift,1,1.8658,0,2,2,3,1,1,dog,cat,dog,cat,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,158,l1,t,es,f0c,audio/158.wav,,l1_t_es_f0c_158,,,,,,,image/pants.png,image/shirt.png,shirt,rshift,,rshift,1,2.7744,0,3,3,52,1,1,shirt,pants,pants,shirt,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,097,l2,f,en,na,audio/097.wav,,l2_f_en_na_097,,,,,,,image/ring.png,image/belt.png,ring,lshift,,lshift,1,2.3362,0,4,4,1,1,1,ring,belt,ring,belt,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,023,l2,t,es,na,audio/023.wav,,l2_t_es_na_023,,,,,,,image/wine.png,image/cellphone.png,wine,lshift,,lshift,1,2.5786,0,5,5,37,1,1,wine,cellphone,wine,cellphone,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,124,l2,f,sp,na,audio/124.wav,,l2_f_sp_na_124,,,,,,,image/bag.png,image/bed.png,bed,rshift,,rshift,1,3.1377,0,6,6,28,1,1,bed,bag,bag,bed,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,030,l2,t,es,na,audio/030.wav,,l2_t_es_na_030,,,,,,,image/flipflops.png,image/boy.png,boy,rshift,,rshift,1,3.3472,0,7,7,44,1,1,boy,flipflops,flipflops,boy,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,102,l2,f,en,na,audio/102.wav,,l2_f_en_na_102,,,,,,,image/socks.png,image/book.png,books,rshift,,lshift,0,4.4816,0,8,8,6,1,1,books,socks,socks,book,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,115,l2,f,se,na,audio/115.wav,,l2_f_se_na_115,,,,,,,image/notebook.png,image/cellphone.png,notebook,lshift,,lshift,1,2.5141,0,9,9,19,1,1,notebook,cellphone,notebook,cellphone,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,118,l2,f,se,na,audio/118.wav,,l2_f_se_na_118,,,,,,,image/icecream.png,image/donut.png,donut,rshift,,rshift,1,2.1918,0,10,10,22,1,1,donut,icecream,icecream,donut,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,151,l1,t,es,f0c,audio/151.wav,,l1_t_es_f0c_151,,,,,,,image/cat.png,image/flower.png,cat,lshift,,lshift,1,2.3136,0,11,11,45,1,1,cat,flower,cat,flower,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,154,l1,t,es,f0c,audio/154.wav,,l1_t_es_f0c_154,,,,,,,image/basket.png,image/truck.png,truck,rshift,,lshift,0,3.1161,0,12,12,48,1,1,truck,basket,basket,truck,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,116,l2,f,se,na,audio/116.wav,,l2_f_se_na_116,,,,,,,image/sweatpants.png,image/boxers.png,boxers,rshift,,rshift,1,2.7928,0,13,13,20,1,1,boxers,sweatpants,sweatpants,boxers,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,130,l2,f,sp,na,audio/130.wav,,l2_f_sp_na_130,,,,,,,image/socks.png,image/glasses.png,glasses,rshift,,rshift,1,2.5096,0,14,14,34,1,1,glasses,socks,socks,glasses,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,125,l2,f,sp,na,audio/125.wav,,l2_f_sp_na_125,,,,,,,image/desk.png,image/bottle.png,desk,lshift,,lshift,1,2.4673,0,15,15,29,1,1,desk,bottle,desk,bottle,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,156,l1,t,es,f0c,audio/156.wav,,l1_t_es_f0c_156,,,,,,,image/city.png,image/village.png,village,rshift,,rshift,1,2.8025,0,16,16,50,1,1,village,city,city,village,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,107,l2,f,en,na,audio/107.wav,,l2_f_en_na_107,,,,,,,image/man.png,image/cat.png,man,lshift,,lshift,1,2.276,0,17,17,11,1,1,man,cat,man,cat,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,104,l2,f,en,na,audio/104.wav,,l2_f_en_na_104,,,,,,,image/shirt.png,image/bag.png,bag,rshift,,rshift,1,2.0598,0,18,18,8,1,1,bag,shirt,shirt,bag,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,129,l2,f,sp,na,audio/129.wav,,l2_f_sp_na_129,,,,,,,image/bag.png,image/chair.png,bag,lshift,,rshift,0,3.8256,0,19,19,33,1,1,bag,chair,bag,chair,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,121,l2,f,sp,na,audio/121.wav,,l2_f_sp_na_121,,,,,,,image/shoe.png,image/glasses.png,shoe,lshift,,lshift,1,2.7545,0,20,20,25,1,1,shoe,glasses,shoe,glasses,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,159,l1,t,es,f0c,audio/159.wav,,l1_t_es_f0c_159,,,,,,,image/restaurant.png,image/hotel.png,restaurant,lshift,,lshift,1,2.8801,0,21,21,53,1,1,restaurant,hotel,restaurant,hotel,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,111,l2,f,se,na,audio/111.wav,,l2_f_se_na_111,,,,,,,image/mashedpotatoes.png,image/donut.png,mashedpotatoes,lshift,,lshift,1,2.5361,0,22,22,15,1,1,mashedpotatoes,donut,mashedpotatoes,donut,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,127,l2,f,sp,na,audio/127.wav,,l2_f_sp_na_127,,,,,,,image/cat.png,image/dog.png,cat,lshift,,lshift,1,2.1426,0,23,23,31,1,1,cat,dog,cat,dog,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,103,l2,f,en,na,audio/103.wav,,l2_f_en_na_103,,,,,,,image/toys.png,image/sneakers.png,toys,lshift,,lshift,1,2.4508,0,24,24,7,1,1,toys,sneakers,toys,sneakers,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,128,l2,f,sp,na,audio/128.wav,,l2_f_sp_na_128,,,,,,,image/cups.png,image/kids.png,kids,rshift,,,0,,0,25,25,32,1,1,kids,cups,cups,kids,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,098,l2,f,en,na,audio/098.wav,,l2_f_en_na_098,,,,,,,image/man.png,image/woman.png,woman,rshift,,rshift,1,2.2157,0,26,26,2,1,1,woman,man,man,woman,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,120,l2,f,se,na,audio/120.wav,,l2_f_se_na_120,,,,,,,image/glasses.png,image/joycons.png,joycons,rshift,,rshift,1,2.8448,0,27,27,24,1,1,joycons,glasses,glasses,joycons,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,028,l2,t,es,na,audio/028.wav,,l2_t_es_na_028,,,,,,,image/pants.png,image/glasses.png,glasses,rshift,,lshift,0,3.7307,0,28,28,42,1,1,glasses,pants,pants,glasses,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,157,l1,t,es,f0c,audio/157.wav,,l1_t_es_f0c_157,,,,,,,image/jacket.png,image/shirt.png,jacket,lshift,,lshift,1,2.5112,0,29,29,51,1,1,jacket,shirt,jacket,shirt,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,100,l2,f,en,na,audio/100.wav,,l2_f_en_na_100,,,,,,,image/wallet.png,image/scarf.png,scarf,rshift,,rshift,1,2.2438,0,30,30,4,1,1,scarf,wallet,wallet,scarf,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,123,l2,f,sp,na,audio/123.wav,,l2_f_sp_na_123,,,,,,,image/sweater.png,image/cellphone.png,sweater,lshift,,lshift,1,2.2596,0,31,31,27,1,1,sweater,cellphone,sweater,cellphone,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,024,l2,t,es,na,audio/024.wav,,l2_t_es_na_024,,,,,,,image/bed.png,image/jug.png,jug,rshift,,rshift,1,2.8964,0,32,32,38,1,1,jug,bed,bed,jug,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,106,l2,f,en,na,audio/106.wav,,l2_f_en_na_106,,,,,,,image/wallet.png,image/computer.png,computer,rshift,,rshift,1,2.6946,0,33,33,10,1,1,computer,wallet,wallet,computer,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,108,l2,f,en,na,audio/108.wav,,l2_f_en_na_108,,,,,,,image/scarf.png,image/socks.png,socks,rshift,,rshift,1,2.6218,0,34,34,12,1,1,socks,scarf,scarf,socks,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,117,l2,f,se,na,audio/117.wav,,l2_f_se_na_117,,,,,,,image/spongebob.png,image/mickeymouse.png,spongebob,lshift,,lshift,1,2.3045,0,35,35,21,1,1,spongebob,mickeymouse,spongebob,mickeymouse,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,119,l2,f,se,na,audio/119.wav,,l2_f_se_na_119,,,,,,,image/penthouse.png,image/rocket.png,penthouse,lshift,,lshift,1,3.1881,0,36,36,23,1,1,penthouse,rocket,penthouse,rocket,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,153,l1,t,es,f0c,audio/153.wav,,l1_t_es_f0c_153,,,,,,,image/cellphone.png,image/book.png,cellphone,lshift,,lshift,1,3.5795,0,37,37,47,1,1,cellphone,book,cellphone,book,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,160,l1,t,es,f0c,audio/160.wav,,l1_t_es_f0c_160,,,,,,,image/ring.png,image/bracelet.png,bracelet,rshift,,rshift,1,3.5883,0,38,38,54,1,1,bracelet,ring,ring,bracelet,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,122,l2,f,sp,na,audio/122.wav,,l2_f_sp_na_122,,,,,,,image/desk.png,image/chair.png,chair,rshift,,rshift,1,2.5892,0,39,39,26,1,1,chair,desk,desk,chair,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,029,l2,t,es,na,audio/029.wav,,l2_t_es_na_029,,,,,,,image/armchair.png,image/ring.png,armchair,lshift,,lshift,1,2.8995,0,40,40,43,1,1,armchair,ring,armchair,ring,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,025,l2,t,es,na,audio/025.wav,,l2_t_es_na_025,,,,,,,image/cellphone.png,image/truck.png,cellphone,lshift,,lshift,1,2.5648,0,41,41,39,1,1,cellphone,truck,cellphone,truck,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,096,l2,f,en,na,audio/096.wav,,l2_f_en_na_096,,,,,,,image/woman.png,image/cat.png,cat,rshift,,rshift,1,1.9493,0,42,42,0,1,1,cat,woman,woman,cat,../image/,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,110,l2,f,en,na,audio/110.wav,,l2_f_en_na_110,,,,,,,image/dog.png,image/cat.png,cat,rshift,,rshift,1,2.4316,0,43,43,14,1,1,cat,dog,dog,cat,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,105,l2,f,en,na,audio/105.wav,,l2_f_en_na_105,,,,,,,image/bed.png,image/plane.png,bed,lshift,,lshift,1,2.7404,0,44,44,9,1,1,bed,plane,bed,plane,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,152,l1,t,es,f0c,audio/152.wav,,l1_t_es_f0c_152,,,,,,,image/car.png,image/grandma.png,grandma,rshift,,rshift,1,2.5667,0,45,45,46,1,1,grandma,car,car,grandma,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,112,l2,f,se,na,audio/112.wav,,l2_f_se_na_112,,,,,,,image/burger.png,image/hotdog.png,hotdog,rshift,,rshift,1,2.3544,0,46,46,16,1,1,hotdog,burger,burger,hotdog,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,109,l2,f,en,na,audio/109.wav,,l2_f_en_na_109,,,,,,,image/fish.png,image/woman.png,fish,lshift,,lshift,1,1.9338,0,47,47,13,1,1,fish,woman,fish,woman,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,021,l2,t,es,na,audio/021.wav,,l2_t_es_na_021,,,,,,,image/jacket.png,image/flipflops.png,jacket,lshift,,lshift,1,2.0656,0,48,48,35,1,1,jacket,flipflops,jacket,flipflops,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,155,l1,t,es,f0c,audio/155.wav,,l1_t_es_f0c_155,,,,,,,image/flipflops.png,image/flower.png,flipflops,lshift,,lshift,1,2.3829,0,49,49,49,1,1,flipflops,flower,flipflops,flower,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,113,l2,f,se,na,audio/113.wav,,l2_f_se_na_113,,,,,,,image/loafers.png,image/sneakers.png,loafers,lshift,,lshift,1,2.6948,0,50,50,17,1,1,loafers,sneakers,loafers,sneakers,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,126,l2,f,sp,na,audio/126.wav,,l2_f_sp_na_126,,,,,,,image/backpack.png,image/key.png,key,rshift,,rshift,1,2.9188,0,51,51,30,1,1,key,backpack,backpack,key,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,101,l2,f,en,na,audio/101.wav,,l2_f_en_na_101,,,,,,,image/computer.png,image/bag.png,computer,lshift,,lshift,1,2.363,0,52,52,5,1,1,computer,bag,computer,bag,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,026,l2,t,es,na,audio/026.wav,,l2_t_es_na_026,,,,,,,image/village.png,image/grandma.png,grandma,rshift,,rshift,1,2.247,0,53,53,40,1,1,grandma,village,village,grandma,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,114,l2,f,se,na,audio/114.wav,,l2_f_se_na_114,,,,,,,image/jeans.png,image/sweatpants.png,sweatpants,rshift,,lshift,0,2.315,0,54,54,18,1,1,sweatpants,jeans,jeans,sweatpants,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,tr1,lt,tr,en,na,practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""lshift"",""lshift""]","[1.1701999999286272,3.407299999952329]",0,0,0,0,1,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,tr2,lt,tr,en,na,practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""lshift"",""lshift""]","[2.4704999999999018,4.719200000047749]",0,1,1,1,1,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,tr3,lt,tr,sp,na,practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""rshift""]",[2.1870000000001255],0,2,2,2,1,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,tr4,lt,tr,sp,na,practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""rshift"",""rshift""]","[1.9186999999283216,4.683799999952271]",0,3,3,3,1,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,tr5,lt,tr,se,na,practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""rshift""]",[3.596499999999878],0,4,4,4,1,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,tr6,lt,tr,se,na,practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""rshift""]",[1.6017000000476855],0,5,5,5,1,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,tr7,lt,tr,es,na,practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[2.865500000000111,3.9202999999524764]",0,6,6,6,1,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,tr8,lt,tr,es,na,practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.8507999999524145,2.3711999999284217]",0,7,7,7,1,,,,,,,,,,,,,
029,001,2023-10-21_17h02.18.335,exp_g2,2022.2.5,Win32,60.12144532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,
